Company_name_encoded,TypeName_name_encoded,Cpu_brand_name_encoded,CPU_vel,GPU_name_encoded,Ram,first_type_name_encoded,first_size,second_type_name_encoded,second_size,Touchscreen,Ips,Inches,ppi,os_name_encoded,Price
0,3,24,2.0,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,1,8100
2,3,2,2.5,0,4,3,128,0,1000,0,0,15.6,141.21199808219862,2,11900
2,1,26,2.9,3,32,3,512,0,1000,0,0,17.3,127.33567457123111,2,80800
0,1,25,2.5,3,8,3,256,2,0,0,1,15.6,141.21199808219862,2,17500
10,3,24,2.0,2,8,3,128,2,0,0,0,15.6,100.45466986113651,2,12200
2,3,26,1.8,3,8,3,128,0,1000,0,0,17.3,127.33567457123111,2,23700
2,3,26,2.7,3,8,3,128,0,1000,0,0,17.3,127.33567457123111,1,18400
4,1,25,2.5,3,8,3,256,2,0,0,0,15.6,141.21199808219862,2,18200
10,0,26,2.7,2,8,3,256,2,0,1,1,13.9,158.48253022174808,2,22400
4,3,26,1.8,0,8,3,128,0,2000,0,0,15.6,141.21199808219862,2,20400
7,3,25,2.5,2,8,1,1000,2,0,1,0,15.6,100.45466986113651,2,11600
2,1,26,2.9,3,16,3,256,2,0,0,0,17.3,127.33567457123111,2,62300
7,3,25,1.6,2,4,1,0,2,0,0,1,13.3,165.6321180513006,2,14000
1,4,25,3.1,2,8,3,512,2,0,0,1,13.3,226.98300468106115,0,42300
4,0,26,1.8,2,8,1,1000,2,0,1,1,15.6,141.21199808219862,2,17000
2,1,26,2.8,3,16,3,256,0,1000,0,0,17.3,127.33567457123111,2,37300
2,3,11,3.0,0,4,1,1000,2,0,0,0,15.6,100.45466986113651,2,9700
10,0,26,1.8,2,8,3,512,2,0,1,1,13.9,158.48253022174808,2,38400
0,3,24,2.7,3,4,3,256,2,0,0,1,17.3,127.33567457123111,2,14500
4,4,25,1.6,2,8,3,256,2,0,0,0,13.3,165.6321180513006,2,19700
7,3,8,2.5,0,8,3,128,2,0,0,0,15.6,100.45466986113651,2,9200
7,3,26,1.8,3,16,1,1000,2,0,0,1,17.3,127.33567457123111,2,22000
11,1,26,2.8,3,16,3,512,0,1000,0,0,17.3,127.33567457123111,2,51900
10,0,26,2.8,3,8,3,512,2,0,1,1,15.6,141.21199808219862,2,35300
4,3,26,1.8,0,8,3,128,0,1000,0,0,17.3,127.33567457123111,2,23700
10,3,24,2.0,2,4,3,256,2,0,0,0,15.6,141.21199808219862,1,9200
7,3,25,1.6,2,4,1,0,2,0,0,1,15.6,141.21199808219862,2,15000
4,3,25,2.5,2,4,1,1000,2,0,0,0,15.6,141.21199808219862,2,13600
4,3,25,2.5,0,8,1,1000,2,0,0,0,15.6,141.21199808219862,2,11700
4,0,25,1.6,2,8,3,256,2,0,1,0,15.6,141.21199808219862,2,16600
2,0,26,1.8,2,8,3,512,3,512,1,0,13.3,165.6321180513006,2,31100
10,3,25,2.5,2,4,1,1000,2,0,0,0,15.6,141.21199808219862,1,9700
7,3,26,1.8,3,8,1,1000,2,0,0,0,17.3,127.33567457123111,2,21100
10,3,26,1.8,2,8,3,256,2,0,0,0,15.6,141.21199808219862,2,18200
1,4,25,2.9,2,8,3,512,2,0,0,1,13.3,226.98300468106115,0,40700
2,1,23,3.0,0,16,3,256,0,1000,0,0,17.3,127.33567457123111,2,32100
4,3,26,1.8,0,8,3,256,2,0,0,0,15.6,141.21199808219862,1,15200
10,0,26,2.6,2,16,3,512,2,0,1,0,14.0,209.8006828649808,2,51900
16,3,26,2.5,3,8,1,0,2,0,0,0,15.6,100.45466986113651,2,16800
4,3,26,2.7,2,12,1,1000,2,0,0,0,15.6,100.45466986113651,2,14800
4,3,26,1.8,0,8,3,128,0,1000,0,0,17.3,127.33567457123111,1,22800
0,3,26,1.8,3,8,1,1000,2,0,0,1,15.6,141.21199808219862,2,15400
10,3,24,2.0,2,4,1,1000,2,0,0,0,17.3,106.11306214269258,2,10100
10,3,26,1.8,3,8,1,2000,2,0,0,0,17.3,127.33567457123111,1,17600
10,3,26,2.7,3,6,3,128,0,1000,0,0,17.3,106.11306214269258,2,17800
4,3,24,2.0,0,4,1,1000,2,0,0,0,15.6,141.21199808219862,1,8800
10,1,25,2.5,3,8,3,256,2,0,0,1,15.6,141.21199808219862,2,17200
10,3,25,2.5,2,6,3,256,2,0,0,0,15.6,141.21199808219862,2,12000
0,3,26,1.8,3,8,3,256,2,0,0,1,15.6,141.21199808219862,2,19700
0,3,26,2.7,2,12,1,1000,2,0,1,1,15.6,141.21199808219862,2,13600
10,3,26,2.7,2,8,3,256,2,0,0,1,15.6,141.21199808219862,2,22700
2,4,25,2.5,3,8,3,256,2,0,0,0,15.6,141.21199808219862,2,20300
10,1,26,2.8,3,16,3,256,0,1000,0,1,15.6,141.21199808219862,2,24400
10,3,26,2.7,3,8,1,1000,2,0,0,0,15.6,141.21199808219862,1,13600
0,3,27,1.5,2,2,3,16,2,0,0,0,15.6,100.45466986113651,1,4100
2,1,26,2.8,3,8,1,1000,2,0,0,0,17.3,127.33567457123111,2,24600
7,3,24,2.0,2,8,1,1000,2,0,0,0,17.3,106.11306214269258,2,10100
4,3,26,2.8,3,8,3,256,2,0,0,0,15.6,141.21199808219862,2,38000
10,3,25,1.6,2,8,3,256,2,0,0,0,15.6,141.21199808219862,2,15300
10,1,26,2.8,3,8,1,1000,2,0,0,1,15.6,141.21199808219862,2,26900
0,3,26,2.8,3,8,3,256,2,0,0,0,15.6,141.21199808219862,1,20300
4,5,26,2.9,3,16,3,256,2,0,0,0,17.3,127.33567457123111,2,59900
10,3,0,2.4,0,6,1,1000,2,0,0,0,15.6,141.21199808219862,2,10300
2,4,26,2.7,3,16,3,512,2,0,0,0,15.6,141.21199808219862,2,30500
2,3,24,2.4,2,4,3,128,2,0,0,0,14.0,111.93520355955211,2,10500
2,1,26,2.8,3,16,3,256,0,1000,0,0,17.3,127.33567457123111,2,44000
10,3,25,2.5,3,6,1,1000,2,0,0,0,17.3,106.11306214269258,2,13400
10,3,25,2.5,3,8,1,2000,2,0,0,0,15.6,100.45466986113651,1,11400
2,1,26,2.8,3,8,3,128,0,1000,0,0,15.6,141.21199808219862,2,26200
10,3,27,1.1,2,4,1,1000,2,0,0,0,15.6,100.45466986113651,1,7400
7,0,26,2.8,2,16,3,256,2,0,1,0,13.3,165.6321180513006,2,41000
16,3,26,2.5,3,8,3,256,2,0,0,1,15.6,141.21199808219862,2,21600
10,3,25,2.5,3,8,3,128,0,1000,0,0,15.6,141.21199808219862,2,17000
